Player,Salary,Ht,Exp,expsq
Russell Westbrook,26540100,6.25,8,64
Joel Bolomboy,600000,6.75,0,0
Alec Burks,10154495,6.5,5,25
Boris Diaw,7000000,6.67,13,169
Dante Exum,3940320,6.5,1,1
Derrick Favors,11050000,6.83,6,36
Rudy Gobert,2121288,7.08,3,9
Gordon Hayward,16073140,6.67,6,36
George Hill,8000000,6.25,8,64
Rodney Hood,1406520,6.67,2,4
Joe Ingles,2250000,6.67,2,4
Joe Johnson,11000000,6.58,15,225
Trey Lyles,2340600,6.83,1,1
Shelvin Mack,2433334,6.25,5,25
Raul Neto,937800,6.08,1,1
Jeff Withey,1015696,7,3,9
Alexis Ajinca,4600000,7.17,6,36
Omer Asik,9904494,7,6,36
Anthony Brown,108043,6.58,1,1
Omri Casspi,3000000,6.75,7,49
Quinn Cook,79922,6.17,0,0
DeMarcus Cousins,16957900,6.92,6,36
Jordan Crawford,234915,6.33,4,16
Dante Cunningham,2978250,6.67,7,49
Anthony Davis,22116750,6.83,4,16
Cheick Diallo,543471,6.75,0,0
Tim Frazier,2090000,6.08,2,4
Archie Goodwin,95600,6.42,3,9
Solomon Hill,11241218,6.58,3,9
Jrue Holiday,11286518,6.33,7,49
Jarrett Jack,91274,6.25,11,121
Terrence Jones,1050961,6.75,4,16
E'Twaun Moore,8081363,6.33,5,25
Donatas Motiejunas,576724,7,4,16
Wayne Selden,31969,6.42,0,0
Lance Stephenson,1227286,6.42,6,36
Hollis Thompson,119494,6.67,3,9
Axel Toupane,20580,6.58,1,1
Reggie Williams,252676,6.5,6,36
LaMarcus Aldridge,20575005,6.92,10,100
Kyle Anderson,1192080,6.75,2,4
Joel Anthony,663810,6.75,9,81
Davis Bertans,543471,6.83,0,0
Dewayne Dedmon,2898000,7,3,9
Bryn Forbes,543471,6.25,0,0
Pau Gasol,15500000,7,15,225
Manu Ginobili,14000000,6.5,14,196
Danny Green,10000000,6.5,7,49
Nicolas Laprovittola,210995,6.33,0,0
David Lee,1551659,6.75,11,121
Kawhi Leonard,17638063,6.58,5,25
Patty Mills,3578948,6,7,49
Dejounte Murray,1180080,6.42,0,0
Tony Parker,14445313,6.17,15,225
Jonathon Simmons,874636,6.5,1,1
Cole Aldrich,7643979,6.92,6,36
Nemanja Bjelica,3800000,6.83,1,1
Omri Casspi,138414,6.75,7,49
Gorgui Dieng,2348783,6.92,3,9
Kris Dunn,3872520,6.33,0,0
Jordan Hill,3911380,6.83,7,49
Tyus Jones,1339680,6.17,1,1
Zach LaVine,2240880,6.42,2,4
John Lucas III,635753,5.92,7,49
Shabazz Muhammad,3046299,6.5,3,9
Adreian Payne,2022240,6.83,2,4
Ricky Rubio,13550000,6.33,5,25
Brandon Rush,3500000,6.5,8,64
Lance Stephenson,144386,6.42,6,36
Karl-Anthony Towns,5960160,7,1,1
Andrew Wiggins,6006600,6.67,2,4
Darrell Arthur,8070175,6.75,7,49
Will Barton,3533333,6.5,4,16
Malik Beasley,1627320,6.42,0,0
Wilson Chandler,11200000,6.67,8,64
Kenneth Faried,12078652,6.67,5,25
Danilo Gallinari,15050000,6.83,7,49
Alonzo Gee,495227,6.5,7,49
Gary Harris,1655880,6.33,2,4
Juan Hernangomez,1987440,6.75,0,0
Roy Hibbert,5000000,7.17,8,64
Nikola Jokic,1358500,6.83,1,1
Mike Miller,3500000,6.67,16,256
Emmanuel Mudiay,3241800,6.42,1,1
Jamal Murray,3210840,6.33,0,0
Jameer Nelson,4540525,6,12,144
Johnny O'Bryant,115344,6.75,2,4
Mason Plumlee,2328530,6.92,3,9
Jarnell Stokes,150000,6.75,2,4
Alan Anderson,1315448,6.5,7,49
Brandon Bass,1551659,6.67,11,121
Jamal Crawford,13253012,6.42,16,256
Raymond Felton,1551659,6.08,11,121
Blake Griffin,20140838,6.83,6,36
Brice Johnson,1273920,6.83,0,0
Wesley Johnson,5628000,6.58,6,36
DeAndre Jordan,21165675,6.92,8,64
Luc Mbah a Moute,2203000,6.67,8,64
Chris Paul,22868827,6,11,121
Paul Pierce,3500000,6.58,18,324
J.J. Redick,7377500,6.33,10,100
Austin Rivers,11000000,6.33,4,16
Marreese Speights,1403611,6.83,8,64
Diamond Stone,543471,6.92,0,0
Tarik Black,6191000,6.75,2,4
Corey Brewer,7600000,6.75,9,81
Jose Calderon,7708427,6.25,11,121
Jordan Clarkson,12500000,6.42,2,4
Luol Deng,18000000,6.75,12,144
Tyler Ennis,1733880,6.25,2,4
Brandon Ingram,5281680,6.75,0,0
Timofey Mozgov,16000000,7.08,6,36
David Nwaba,137466,6.33,0,0
Julius Randle,3267120,6.75,2,4
Thomas Robinson,1050961,6.83,4,16
D'Angelo Russell,5332800,6.42,1,1
Metta World Peace,1551659,6.5,16,256
Nick Young,5443918,6.58,9,81
Ivica Zubac,1034956,7.08,0,0
Arron Afflalo,12500000,6.42,9,81
Matt Barnes,6125000,6.58,13,169
Willie Cauley-Stein,3551160,7,1,1
Darren Collison,5229454,6,7,49
Tyreke Evans,10661286,6.5,7,49
Jordan Farmar,82979,6.17,9,81
Langston Galloway,5200000,6.17,2,4
Rudy Gay,13333333,6.67,10,100
Buddy Hield,3517200,6.33,0,0
Kosta Koufos,8046500,7,8,64
